Title,Body,Tags
"Recommended add-ons/plugins for Microsoft Visual Studio","<p>Can anyone recommend any good <strong>add-ons</strong> or <strong>plugins</strong> for <code>Microsoft Visual Studio</code>?<br>
Freebies are preferred, but if it is worth the cost then that's fine.</p>
","<visual-studio><plugins><add-on>"
"Global Exception Handling for winforms control","<p>When working on ASP.NET 1.1 projects I always used the Global.asax to catch all errors. I'm looking for a similar way to catch all exceptions in a Windows Forms user control, which ends up being a hosted IE control. What is the proper way to go about doing something like this?</p>
","<winforms><error-handling><user-controls>"
"Can't get a Console to VMs","<p>I've followed this otherwise <a href=""http://howtoforge.com/ubuntu-8.04-server-install-xen-from-ubuntu-repositories"" rel=""noreferrer"">excellent tutorial</a> on getting Xen working with Ubuntu but am not able to get a console into my virtual machine (domU). I've got the <code>extra = '2 console=xvc0'</code> line in my /etc/xen/<strong>hostname_here</strong>.cfg file like they say, but am not able to get a console on it.</p>

<p>If I statically assign an IP to the VM I can SSH to it, but for now I need to be able to use DHCP to give it an address (and since that's what I'm trying to debug, there's the problem). I know I've got a free DHCP address (although I'm getting more at the moment), so I don't think that's the problem. I've looked on Google and the Xen forums to no avail as well.</p>

<p>Any ideas?</p>
","<ubuntu><virtualization><xen>"
"How to remove the time portion of a datetime value (SQL Server)?","<p>Here's what I use:</p>

<pre><code>SELECT CAST(FLOOR(CAST(getdate() as FLOAT)) as DATETIME)
</code></pre>

<p>I'm thinking there may be a better and more elegant way.</p>

<p>Requirements:</p>

<ul>
<li>It has to be as fast as possible (the less casting, the better).</li>
<li>The final result has to be a <code>datetime</code> type, not a string.</li>
</ul>
","<sql-server><datetime><date-conversion>"
"Is it better to create Model classes or stick with generic database utility class?","<p>We have a simple utility class in-house for our database calls (a light wrapper around ADO.NET), but I am thinking of creating classes for each database/object.  Would it be smart thing to do so, or would it only benefit if we were using the full MVC framework for ASP.NET?</p>

<p>So we have this:</p>

<pre><code>SQLWrapper.GetRecordset(connstr-alias, sql-statement, parameters);
SQLWrapper.GetDataset(connstr-alias, sql-statement, parameters);
SQLWrapper.Execute(connstr-alias, sql-statement, parameters);
</code></pre>

<p>Thinking of doing this:</p>

<pre><code>Person p = Person.get(id);
p.fname = ""jon"";
p.lname = ""smith"";
p.Save();
</code></pre>

<p>or for a new record -</p>

<pre><code>Person p = new Person();
p.fname = ""Jon"";
p.lname = ""Smith"";
p.Save();
p.Delete();
</code></pre>

<p>Would this be smart, or would it be overkill? I can see the benefit for reuse, changing database, and maintenance/readability.</p>
","<c#><asp.net-mvc><database><ado.net>"
"Converting ARBG to RGB with alpha blending","<p>Let's say that we have an ARGB color:</p>

<pre><code>Color argb = Color.FromARGB(127, 69, 12, 255); //Light Urple.
</code></pre>

<p>When this is painted on top of an existing color, the colors will blend. So when it is blended with white, the resulting color is <code>Color.FromARGB(255, 162, 133, 255);</code></p>

<p>The solution should work like this:</p>

<pre><code>Color blend = Color.White; 
Color argb = Color.FromARGB(127, 69, 12, 255); //Light Urple.      
Color rgb = ToRGB(argb, blend); //Same as Color.FromARGB(255, 162, 133, 255);
</code></pre>

<p>What is <code>ToRGB</code>'s implementation?      </p>
","<c#><colors>"
"Setting Objects to Null/Nothing after use in .NET","<p>Should you set all the objects to <code>null</code> (<code>Nothing</code> in VB.NET) once you have finished with them? </p>

<p>I understand that in .NET it is essential to dispose of any instances of objects that implement the <code>IDisposable</code> interface to release some resources although the object can still be something after it is disposed (hence the <code>isDisposed</code> property in forms), so I assume it can still reside in memory or at least in part?</p>

<p>I also know that when an object goes out of scope it is then marked for collection ready for the next pass of the garbage collector (although this may take time).</p>

<p>So with this in mind will setting it to <code>null</code> speed up the system releasing the memory as it does not have to work out that it is no longer in scope and are they any bad side effects?</p>

<p>MSDN articles never do this in examples and currently I do this as I cannot 
see the harm. However I have come across a mixture of opinions so any comments are useful.</p>
","<c#><.net><vb.net><memory-management><null>"
"What's the best setup for Mono development on Windows?","<p>I started trying to play with Mono, mostly for fun at the moment.  I first tried to use the Visual Studio plugin that will convert a csproj into a makefile, but there seemed to be no version available for Visual Studio 2005. I also read about the MonoDevelop IDE, which sounded nice. Unfortunately, there's no pre-fab Windows package for it. I tried to follow some instructions to build it by combining dependencies from other semi-related installs. It didn't work, but that's probably because I'm a Windows-oriented guy and can barely spell ""makefile"".</p>

<p>So, my question is this: What's the lowest-energy way to get up and running to try some Mono-based development on Windows?</p>
","<windows><mono>"
"Map Routing, a la Google Maps?","<p>I've always been intrigued by Map Routing, but I've never found any good introductory (or even advanced!) level tutorials on it. Does anybody have any pointers, hints, etc?</p>

<p><strong>Update:</strong> I'm primarily looking for pointers as to how a map system is implemented (data structures, algorithms, etc).</p>
","<google-maps><google-maps-api-3><mapping><gis>"
"How should I translate from screen space coordinates to image space coordinates in a WinForms PictureBox?","<p>I have an application that displays an image inside of a Windows Forms <code>PictureBox</code> control.  The <code>SizeMode</code> of the control is set to <code>Zoom</code> so that the image contained in the <code>PictureBox</code> will be displayed in an aspect-correct way regardless of the dimensions of the <code>PictureBox</code>.</p>

<p>This is great for the visual appearance of the application because you can size the window however you want and the image will always be displayed using its best fit.  Unfortunately, I also need to handle mouse click events on the picture box and need to be able to translate from screen-space coordinates to image-space coordinates.</p>

<p>It looks like it's easy to translate from screen space to control space, but I don't see any obvious way to translate from control space to image space (i.e. the pixel coordinate in the source image that has been scaled in the picture box).</p>

<p>Is there an easy way to do this, or should I just duplicate the scaling math that they're using internally to position the image and do the translation myself?</p>
","<c#><winforms><picturebox>"
"SQL Server 2000: Is there a way to tell when a record was last modified?","<p>The table doesn't have a last updated field and I need to know when existing data was updated. So adding a last updated field won't help (as far as I know).</p>
","<sql-server>"
"SQL Server 2005 For XML Explicit - Need help formatting","<p>I have a table with a structure like the following:</p>
<hr />
<div class=""s-table-container"">
<table class=""s-table"">
<thead>
<tr>
<th>LocationID</th>
<th>AccountNumber</th>
</tr>
</thead>
<tbody>
<tr>
<td>long-guid-here</td>
<td>12345</td>
</tr>
<tr>
<td>long-guid-here</td>
<td>54321</td>
</tr>
</tbody>
</table>
</div>
<p>To pass into another stored procedure, I need the XML to look like this:</p>
<pre><code>&lt;root&gt; 
    &lt;clientID&gt;12345&lt;/clientID&gt;
    &lt;clientID&gt;54321&lt;/clientID&gt;
&lt;/root&gt;
</code></pre>
<p>The best I've been able to do so far was getting it like this:</p>
<pre><code>&lt;root clientID=&quot;10705&quot;/&gt;
</code></pre>
<p>I'm using this SQL statement:</p>
<pre><code>SELECT
    1 as tag,
    null as parent,
    AccountNumber as 'root!1!clientID'
FROM
    Location.LocationMDAccount
WHERE
    locationid = 'long-guid-here'
FOR XML EXPLICIT
</code></pre>
<p>So far, I've looked at the documentation on <a href=""http://msdn.microsoft.com/en-us/library/ms345137.aspx"" rel=""nofollow noreferrer"">the MSDN page</a>, but I've not come out with the desired results.</p>
<hr />
<p>@KG,</p>
<p>Yours gave me this output actually:</p>
<pre><code>&lt;root&gt;
  &lt;Location.LocationMDAccount&gt;
    &lt;clientId&gt;10705&lt;/clientId&gt;
  &lt;/Location.LocationMDAccount&gt;
&lt;/root&gt;
</code></pre>
<p>I'm going to stick with the <code>FOR XML EXPLICIT</code> from Chris Leon for now.</p>
","<sql><xml><sql-server-2005><formatting><for-xml>"
"How to curl or wget a web page?","<p>I would like to make a nightly cron job that fetches my stackoverflow page and diffs it from the previous day's page, so I can see a change summary of my questions, answers, ranking, etc.</p>

<p>Unfortunately, I couldn't get the right set of cookies, etc, to make this work.  Any ideas?</p>

<p>Also, when the beta is finished, will my status page be accessible without logging in?</p>
","<http><curl>"
"Paging SQL Server 2005 Results","<p>How do I page results in SQL Server 2005?</p>

<p>I tried it in SQL Server 2000, but there was no reliable way to do this. I'm now wondering if SQL Server 2005 has any built in method?</p>

<p>What I mean by paging is, for example, if I list users by their username, I want to be able to only return the first 10 records, then the next 10 records and so on.</p>

<p>Any help would be much appreciated.</p>
","<sql><sql-server-2005><paging>"
"How do you format an unsigned long long int using printf?","<pre><code>#include &lt;stdio.h&gt;
int main() {
    unsigned long long int num = 285212672; //FYI: fits in 29 bits
    int normalInt = 5;
    printf(""My number is %d bytes wide and its value is %ul. A normal number is %d.\n"", sizeof(num), num, normalInt);
    return 0;
}
</code></pre>

<p>Output:</p>

<pre><code>My number is 8 bytes wide and its value is 285212672l. A normal number is 0.
</code></pre>

<p>I assume this unexpected result is from printing the <code>unsigned long long int</code>. How do you <code>printf()</code> an <code>unsigned long long int</code>?</p>
","<c><syntax><printf><format-specifiers><long-long>"
"Options for HTML scraping?","<p>I'm thinking of trying <a href=""http://en.wikipedia.org/wiki/Beautiful_Soup"" rel=""nofollow noreferrer"">Beautiful Soup</a>, a Python package for HTML scraping. Are there any other HTML scraping packages I should be looking at? Python is not a requirement, I'm actually interested in hearing about other languages as well.</p>
<p>The story so far:</p>
<ul>
<li>Python
<ul>
<li><a href=""http://www.crummy.com/software/BeautifulSoup/"" rel=""nofollow noreferrer"">Beautiful Soup</a></li>
<li><a href=""http://codespeak.net/lxml/"" rel=""nofollow noreferrer"">lxml</a></li>
<li><a href=""http://htql.net/"" rel=""nofollow noreferrer"">HTQL</a></li>
<li><a href=""http://scrapy.org/"" rel=""nofollow noreferrer"">Scrapy</a></li>
<li><a href=""http://wwwsearch.sourceforge.net/mechanize/"" rel=""nofollow noreferrer"">Mechanize</a></li>
</ul>
</li>
<li>Ruby
<ul>
<li><a href=""http://nokogiri.org/"" rel=""nofollow noreferrer"">Nokogiri</a></li>
<li><a href=""https://github.com/hpricot/hpricot/"" rel=""nofollow noreferrer"">Hpricot</a></li>
<li><a href=""https://github.com/tenderlove/mechanize"" rel=""nofollow noreferrer"">Mechanize</a></li>
<li><a href=""http://rubyforge.org/projects/scrapi/"" rel=""nofollow noreferrer"">scrAPI</a></li>
<li><a href=""http://scrubyt.org/"" rel=""nofollow noreferrer"">scRUBYt!</a></li>
<li><a href=""https://github.com/felipecsl/wombat"" rel=""nofollow noreferrer"">wombat</a></li>
<li><a href=""http://watir.com"" rel=""nofollow noreferrer"">Watir</a></li>
</ul>
</li>
<li>.NET
<ul>
<li><a href=""http://html-agility-pack.net/?z=codeplex"" rel=""nofollow noreferrer"">Html Agility Pack</a></li>
<li><a href=""http://watin.org/"" rel=""nofollow noreferrer"">WatiN</a></li>
</ul>
</li>
<li>Perl
<ul>
<li><a href=""http://search.cpan.org/dist/WWW-Mechanize/"" rel=""nofollow noreferrer"">WWW::Mechanize</a></li>
<li><a href=""http://search.cpan.org/dist/Web-Scraper/"" rel=""nofollow noreferrer"">Web-Scraper</a></li>
</ul>
</li>
<li>Java
<ul>
<li><a href=""http://home.ccil.org/%7Ecowan/XML/tagsoup/"" rel=""nofollow noreferrer"">Tag Soup</a></li>
<li><a href=""http://htmlunit.sourceforge.net/"" rel=""nofollow noreferrer"">HtmlUnit</a></li>
<li><a href=""http://web-harvest.sourceforge.net/"" rel=""nofollow noreferrer"">Web-Harvest</a></li>
<li>[jARVEST] <a href=""http://sing.ei.uvigo.es/jarvest"" rel=""nofollow noreferrer"">21</a></li>
<li><a href=""http://jsoup.org/"" rel=""nofollow noreferrer"">jsoup</a></li>
<li><a href=""http://jericho.htmlparser.net/docs/index.html"" rel=""nofollow noreferrer"">Jericho HTML Parser</a></li>
</ul>
</li>
<li>JavaScript
<ul>
<li><a href=""https://github.com/request/request"" rel=""nofollow noreferrer"">request</a></li>
<li><a href=""https://github.com/cheeriojs/cheerio"" rel=""nofollow noreferrer"">cheerio</a></li>
<li><a href=""http://medialab.github.io/artoo/"" rel=""nofollow noreferrer"">artoo</a></li>
<li><a href=""https://github.com/johntitus/node-horseman"" rel=""nofollow noreferrer"">node-horseman</a></li>
<li><a href=""http://phantomjs.org/"" rel=""nofollow noreferrer"">phantomjs</a></li>
</ul>
</li>
<li>PHP
<ul>
<li>[Goutte] <a href=""https://github.com/FriendsOfPHP/Goutte"" rel=""nofollow noreferrer"">29</a></li>
<li><a href=""https://github.com/hxseven/htmlSQL"" rel=""nofollow noreferrer"">htmlSQL</a></li>
<li><a href=""http://sourceforge.net/projects/simplehtmldom/"" rel=""nofollow noreferrer"">PHP Simple HTML DOM Parser</a></li>
<li><a href=""http://www.jacobward.co.uk/web-scraping-with-php-curl-part-1/"" rel=""nofollow noreferrer"">PHP Scraping with CURL</a></li>
<li><a href=""https://github.com/ScarletsFiction/ScarletsQuery"" rel=""nofollow noreferrer"">ScarletsQuery</a></li>
</ul>
</li>
<li>Go
<ul>
<li><a href=""https://github.com/puerkitobio/goquery"" rel=""nofollow noreferrer"">goquery</a></li>
<li><a href=""https://github.com/slotix/dataflowkit"" rel=""nofollow noreferrer"">Dataflow kit</a></li>
</ul>
</li>
<li>Most of them
<ul>
<li><a href=""http://www.screen-scraper.com/"" rel=""nofollow noreferrer"">Screen-Scraper</a></li>
</ul>
</li>
</ul>
","<html><web-scraping><html-parsing><html-content-extraction>"
"Reading a C/C++ data structure in C# from a byte array","<p>What would be the best way to fill a C# struct from a byte[] array where the data was from a C/C++ struct?  The C struct would look something like this (my C is very rusty):</p>

<pre><code>typedef OldStuff {
    CHAR Name[8];
    UInt32 User;
    CHAR Location[8];
    UInt32 TimeStamp;
    UInt32 Sequence;
    CHAR Tracking[16];
    CHAR Filler[12];
}
</code></pre>

<p>And would fill something like this:</p>

<pre><code>[StructLayout(LayoutKind.Explicit, Size = 56, Pack = 1)]
public struct NewStuff
{
    [MarshalAs(UnmanagedType.ByValTStr, SizeConst = 8)]
    [FieldOffset(0)]
    public string Name;

    [MarshalAs(UnmanagedType.U4)]
    [FieldOffset(8)]
    public uint User;

    [MarshalAs(UnmanagedType.ByValTStr, SizeConst = 8)]
    [FieldOffset(12)]
    public string Location;

    [MarshalAs(UnmanagedType.U4)]
    [FieldOffset(20)]
    public uint TimeStamp;

    [MarshalAs(UnmanagedType.U4)]
    [FieldOffset(24)]
    public uint Sequence;

    [MarshalAs(UnmanagedType.ByValTStr, SizeConst = 16)]
    [FieldOffset(28)]
    public string Tracking;
}
</code></pre>

<p>What is best way to copy <code>OldStuff</code> to <code>NewStuff</code>, if <code>OldStuff</code> was passed as byte[] array?</p>

<p>I'm currently doing something like the following, but it feels kind of clunky.</p>

<pre><code>GCHandle handle;
NewStuff MyStuff;

int BufferSize = Marshal.SizeOf(typeof(NewStuff));
byte[] buff = new byte[BufferSize];

Array.Copy(SomeByteArray, 0, buff, 0, BufferSize);

handle = GCHandle.Alloc(buff, GCHandleType.Pinned);

MyStuff = (NewStuff)Marshal.PtrToStructure(handle.AddrOfPinnedObject(), typeof(NewStuff));

handle.Free();
</code></pre>

<p>Is there better way to accomplish this?</p>

<hr>

<p>Would using the <code>BinaryReader</code> class offer any performance gains over pinning the memory and using <code>Marshal.PtrStructure</code>?</p>
","<c#><.net><data-structures><marshalling>"
"Possible to ""spin off"" several GUI threads? (Not halting the system at Application.Run)","<p><strong>My Goal</strong></p>

<p>I would like to have a main processing thread (non GUI), and be able to spin off GUIs in their own background threads as needed, and having my main non GUI thread keep working. Put another way, I want my main non GUI-thread to be the owner of the GUI-thread and not vice versa. I'm not sure this is even possible with Windows Forms(?)</p>

<p><strong>Background</strong></p>

<p>I have a component based system in which a controller dynamically load assemblies and instantiates and run classes implementing a common <code>IComponent</code> interface with a single method <code>DoStuff()</code>.</p>

<p>Which components that gets loaded is configured via a xml configuration file and by adding new assemblies containing different implementations of <code>IComponent</code>. The components provides utility functions to the main application. While the main program is doing it's thing, e.g. controlling a nuclear plant, the components might be performing utility tasks (in their own threads), e.g. cleaning the database, sending emails, printing funny jokes on the printer, what have you. What I would like, is to have one of these components be able to display a GUI, e.g. with status information for the said email sending component.</p>

<p>The lifetime of the complete system looks like this</p>

<ol>
<li>Application starts.</li>
<li>Check configuration file for components to load. Load them.</li>
<li><strong>For each component, run <code>DoStuff()</code> to initialize it and make it live its own life in their own threads.</strong></li>
<li>Continue to do main application-thingy king of work, forever.</li>
</ol>

<p>I have not yet been able to successfully perform point 3 if the component fires up a GUI in <code>DoStuff()</code>. It simply just halts until the GUI is closed. And not until the GUI is closed does the program progress to point 4.</p>

<p>It would be great if these components were allowed to start up their own Windows Forms GUIs.</p>

<p><strong>Problem</strong></p>

<p>When a component tries to fire up a GUI in <code>DoStuff()</code> (the exact line of code is when the component runs <code>Application.Run(theForm)</code>), the component and hence our system ""hangs"" at the <code>Application.Run()</code> line until the GUI is closed. Well, the just fired up GUI works fine, as expected.</p>

<p>Example of components. One hasn't nothing to do with GUI, whilst the second fires up a cute windows with pink fluffy bunnies in them.</p>

<pre><code>public class MyComponent1: IComponent
{
    public string DoStuff(...) { // write something to the database  }
}

public class MyComponent2: IComponent
{
    public void DoStuff()
    {
        Application.EnableVisualStyles();
        Application.SetCompatibleTextRenderingDefault(false);
        Application.Run(new Form());

        // I want the thread to immediately return after the GUI 
        // is fired up, so that my main thread can continue to work.
    }
}
</code></pre>

<p>I have tried this with no luck. Even when I try to fire up the GUI in it's own thread, the execution halts until the GUI as closed.</p>

<pre><code>public void DoStuff()
{
    new Thread(ThreadedInitialize).Start()
}

private void ThreadedInitialize()
{
    Application.EnableVisualStyles();
    Application.SetCompatibleTextRenderingDefault(false);
    Application.Run(new Form());
}
</code></pre>

<p>Is it possible to spin off a GUI and return after <code>Application.Run()</code>?</p>
","<c#><.net><winforms>"
"Choosing a static code analysis tool","<p>I'm working on a project where I'm coding in C in a UNIX environment. I've been using the lint tool to check my source code. Lint has been around a long time (since 1979), can anyone suggest a more recent code analysis tool I could use ? Preferably a tool that is free.</p>
","<c><unix><testing>"
"How to render a control to look like ComboBox with Visual Styles enabled?","<p>I have a control that is modelled on a <strong>ComboBox</strong>. I want to render the control so that the control <strong>border</strong> looks like that of a standard <strong>Windows ComboBox</strong>. Specifically, I have followed the MSDN documentation and all the rendering of the control is correct except for rendering when the control is disabled.</p>

<p>Just to be clear, this is for a system with <strong>Visual Styles</strong> enabled.  Also, all parts of the control render properly except the border around a disabled control, which does not match the disabled <strong>ComboBox border</strong> colour.</p>

<p>I am using the <strong>VisualStyleRenderer</strong> class. MSDN suggests using the <code>VisualStyleElement.TextBox</code> element for the <strong>TextBox</strong> part of the <strong>ComboBox</strong> control but a standard disabled <strong>TextBox</strong> and a standard disabled <strong>ComboBox</strong> draw slightly differently (one has a light grey border, the other a light blue border).</p>

<p>How can I get correct rendering of the control in a disabled state?</p>
","<c#><.net><winforms>"
"Text Editor For Linux (Besides Vi)?","<p>Let me preface this question by saying I use TextMate on Mac OSX for my text needs and I am in love with it.  Anything comparable on the Linux platform?  I'll mostly use it for coding python/ruby.</p>

<p>Doing a google search yielded outdated answers.</p>

<p>Edit:  Since there has been some concern about the 'merit' of this question.  I am about to start a new Ruby Programming Project in Linux and before I got started I wanted to make sure I had the right tools to do the job.</p>

<p>Edit #2:  I use VIM on a daily basis -- all . the . time.  I enjoy using it.  I was just looking for some alternatives.</p>
","<linux><editor>"
"MySQL/Apache Error in PHP MySQL query","<p>I am getting the following error:</p>

<blockquote>
  <p>Access denied for user 'apache'@'localhost' (using password: NO)</p>
</blockquote>

<p>When using the following code:</p>

<pre><code>&lt;?php

include(""../includes/connect.php"");

$query = ""SELECT * from story"";

$result = mysql_query($query) or die(mysql_error());

echo ""&lt;h1&gt;Delete Story&lt;/h1&gt;"";

if (mysql_num_rows($result) &gt; 0) {
    while($row = mysql_fetch_row($result)){
          echo '&lt;b&gt;'.$row[1].'&lt;/b&gt;&lt;span align=""right""&gt;&lt;a href=""../process/delete_story.php?id='.$row[0].'""&gt;Delete&lt;/a&gt;&lt;/span&gt;';
      echo '&lt;br /&gt;&lt;i&gt;'.$row[2].'&lt;/i&gt;';
    }
}
else {
   echo ""No stories available."";
}
?&gt;
</code></pre>

<p>The <code>connect.php</code> file contains my MySQL connect calls that are working fine with my <code>INSERT</code> queries in another portion of the software.  If I comment out the <code>$result = mysql_query</code> line, then it goes through to the else statement.  So, it is that line or the content in the if.</p>

<p>I have been searching the net for any solutions, and most seem to be related to too many MySQL connections or that the user I am logging into MySQL as does not have permission.  I have checked both.  I can still perform my other queries elsewhere in the software, and I have verified that the account has the correct permissions.</p>
","<php><mysql><apache>"
"How to Test Web Code?","<p>Does anyone have some good hints for writing test code for database-backend development where there is a heavy dependency on state?</p>

<p>Specifically, I want to write tests for code that retrieve records from the database, but the answers will depend on the data in the database (which may change over time).</p>

<p>Do people usually make a separate development system with a 'frozen' database so that any given function should always return the exact same result set?</p>

<p>I am quite sure this is not a new issue, so I would be very interested to learn from other people's experience.</p>

<p>Are there good articles out there that discuss this issue of web-based development in general?</p>

<p>I usually write PHP code, but I would expect all of these issues are largely language and framework agnostic.</p>
","<database><testing>"
"How can I detect if a browser is blocking a popup?","<p>Occasionally, I've come across a webpage that tries to pop open a new window (for user input, or something important), but the popup blocker prevents this from happening.</p>

<p>What methods can the calling window use to make sure the new window launched properly?</p>
","<popup>"
"Getting started with a custom JXTA PeerGroup","<p>I have been working with <em>JXTA</em> 2.3 for the last year or so for a peer-to-peer computing platform I am developing. I am migrating to <em>JXTA</em> 2.5 and in the process I am trying to clean up a lot of my use of <em>JXTA</em>. For the most part, I approached <em>JXTA</em> with a <strong>just make it work</strong> attitude. I used it to jumpstart creating and managing my peer-to-peer overlay network and providing basic communication services. I would like to use it in a more <em>JXTA</em> way since I am making changes to move to 2.5 anyway.</p>

<p>My first step would be a basic creation of a custom <code>PeerGroup</code>. I see some new new mechanisms that are using the <code>META-INF.services</code> infrastructure of Java. Should I be listing a related <code>PeerGroup</code> implementing object here with a <em>GUID</em> in <code>net.jxta.platform.Module</code>? As I understand it, if I do this, when a group with a spec ID matching the <em>GUID</em> is encountered and joined or created it should automatically use the matching object. I should be able to just manually tie a <code>PeerGroup</code> object to the group but this new method using <code>META-INF</code> seems to be a lot easier to manage.</p>

<p>Does anyone have any pointers or examples of using this infrastructure for <code>PeerGroup</code> implementation? Also, some general information on the <code>META-INF.services</code> mechanism in Java would be helpful.</p>
","<java><p2p><jxta>"
"Create a directly-executable cross-platform GUI app using Python","<p>Python works on multiple platforms and can be used for desktop and web applications, thus I conclude that there is some way to compile it into an executable for Mac, Windows and Linux.</p>

<p>The problem being I have no idea where to start or how to write a GUI with it, can anybody shed some light on this and point me in the right direction please?</p>
","<python><user-interface><deployment><tkinter><release-management>"
"How to get Indexing Service and MODI to produce Full-text over OCR?","<p>I have configured Indexing Service to index my files, which also include scanned images saved as hi-res <a href=""https://en.wikipedia.org/wiki/TIFF"" rel=""nofollow noreferrer"">TIFF</a> files. I also installed MS Office 2003+ and configured MS Office Document Imaging (MODI) correctly, so I can perform <a href=""https://en.wikipedia.org/wiki/Optical_character_recognition"" rel=""nofollow noreferrer"">OCR</a> on my images and even embed the <a href=""https://en.wikipedia.org/wiki/Optical_character_recognition"" rel=""nofollow noreferrer"">OCR</a>'d text into TIFFs.</p>
<p>Indexing Service is able to index and find those <a href=""https://en.wikipedia.org/wiki/TIFF"" rel=""nofollow noreferrer"">TIFF</a>-s that were manually OCR'd and re-saved with text data (using MS Document Imaging tool).</p>
<p>Turns out, Data Execution Prevention (DEP) which is deployed with Windows XP SP2 thinks MODI is malicious and refuses to let it do its magic. I have been able to get it to work by turning DEP off completely, but I found this solution to be inelegant.</p>
<p>Is there a better solution to make this work, without disabling DEP?</p>
","<ocr><modi><indexing-service>"
"What are the different methods to parse strings in Java?","<p>For parsing player commands, I've most often used the <a href=""http://docs.oracle.com/javase/6/docs/api/java/lang/String.html#split%28java.lang.String%29"" rel=""noreferrer"">split</a> method to split a string by delimiters and then to then just figure out the rest by a series of <code>if</code>s or <code>switch</code>es. What are some different ways of parsing strings in Java?</p>
","<java><string><parsing>"
